name	latitude	longitude	visit_cnt
RR7	64.73367	23.81283	68
RR8	64.68367	24.0795	59
SH2	55.33333	14.48333	31
SIIKA4	65.05867	23.51283	16
SLBT2	59.66683	22.49683	15
SLBT3	59.5835	22.49683	17
SLBT4	59.5	22.49683	18
SLBT5	59.41683	22.49683	17
SLBT6	59.33333	22.49683	15
SLBT7	59.25	22.49683	12
SLHP0	59.96683	24.77183	15
SLHP1	59.90017	24.79683	25
SLHP2	59.8335	24.82183	23
SLHP3	59.76683	24.84683	24
SLHP4	59.7335	24.8635	22
SLJP1	59.75017	23.7635	15
SLJP1A	59.80017	23.7385	16
SLJP1B	59.7335	23.7635	11
SLJP2	59.66683	23.7885	28
SLJP3	59.60017	23.8135	25
SLJP4	59.5335	23.8385	25
SLJP5	59.46683	23.8635	24
SLLO1	59.66683	23.2385	26
SLLO2	59.60017	23.2635	20
SLLO3	59.5335	23.2885	21
SLLO4	59.45017	23.3135	20
SLLO5	59.3835	23.3635	13
SLPL1	60.06683	25.83017	16
SLPL2	60.00017	25.86367	20
SLPL3	59.9335	25.88033	23
SLPL4	59.86683	25.90533	19
SLPL5	59.80017	25.93033	19
SLPN0	59.8835	24.27183	13
SLPN1	59.82517	24.29683	24
SLPN2	59.75017	24.32183	26
SLPN3	59.6835	24.34683	25
SLPN4	59.61683	24.37183	24
SLPN5	59.55017	24.39683	15
SLSJ0	60.0835	25.30517	14
SLSJ1	60.00017	25.33017	22
SLSJ2	59.91683	25.35517	24
SLSJ3	59.85017	25.38017	23
SLSJ4	59.7835	25.40017	21
SLSJ5	59.71683	25.43033	20
SLVM5	59.3935	23.3385	13
SM1	64.11683	21.24617	27
SM2	64.06683	21.44617	28
SM3	63.9835	21.76283	69
SM4	63.90017	22.06283	40
SM5	63.7835	22.363	47
SN1	63.25017	19.44617	15
SN2	63.21683	19.61283	22
SN3	63.16683	19.96283	30
SN4	63.16683	20.1795	45
SN5	63.11683	20.463	30
SPC21	63.7835	22.29617	17
SPOIJU	61.807667	20.2451	14
SR1A	61.23333	17.66317	77
SR2	61.2	17.84617	66
SR3	61.18333	18.23	125
SR4	61.18483	18.60517	73
SR4A	61.16667	18.82983	54
SR4B	61.13333	19.0965	56
SR4C	61.11667	19.27983	28
SR5	61.08333	19.58333	317
SR5B	61.06667	19.91317	64
SR6	61.05017	20.2635	139
SR7	61.0835	20.5965	178
SR8	61.1265	20.93	115
SR9	61.16683	21.16317	65
STOLPESILL	55.28333	16.5	27
STORFJÄRDEN	59.855567	23.265317	3215
Seili	60.25554	21.951099	1782
TA2	55.23333	13.18333	16
TA3	55.15	13.21667	14
TA4	55.08333	13.26667	16
TA6	54.91667	13.33333	13
